label;x;y;frameStart;frameEnd
T1;624.992;524.631;0.000;0.000
T1;631.881;522.663;1.000;1.000
T1;632.865;522.663;2.000;2.000
T1;632.865;522.663;3.000;3.000
T2;638.771;525.615;5.000;5.000
T2;638.771;525.615;6.000;6.000
T2;638.771;525.615;7.000;7.000
T2;638.771;530.536;8.000;8.000
T2;639.755;535.457;9.000;9.000
T3;644.676;540.378;11.000;11.000
T3;649.596;543.331;12.000;12.000
T3;648.612;543.331;13.000;13.000
T3;650.581;548.251;14.000;14.000
T4;650.581;550.220;16.000;16.000
T4;650.581;550.220;17.000;17.000
T4;650.581;552.188;18.000;18.000
T4;650.581;552.188;19.000;19.000
T4;650.581;554.157;20.000;20.000
T5;650.581;554.157;22.000;22.000
T5;650.581;554.157;23.000;23.000
T5;650.581;554.157;24.000;24.000
T5;646.644;557.109;25.000;25.000
T5;644.676;557.109;26.000;26.000
T6;643.691;559.077;28.000;28.000
T6;643.691;559.077;29.000;29.000
T6;643.691;559.077;30.000;30.000
T6;642.707;559.077;31.000;31.000
T6;642.707;559.077;32.000;32.000
T7;642.707;559.077;34.000;34.000
T7;642.707;559.077;35.000;35.000
T7;642.707;559.077;36.000;36.000
T7;642.707;559.077;37.000;37.000
T7;642.707;559.077;38.000;38.000
T8;642.707;559.077;40.000;40.000
T8;642.707;559.077;41.000;41.000
T8;642.707;559.077;42.000;42.000
T8;642.707;559.077;43.000;43.000
T8;642.707;559.077;44.000;44.000
T9;642.707;559.077;46.000;46.000
T9;642.707;559.077;47.000;47.000
T9;642.707;550.220;48.000;48.000
T9;645.660;546.283;49.000;49.000
T9;645.660;546.283;50.000;50.000
T9;647.628;553.172;51.000;51.000
T10;644.676;534.473;53.000;53.000
T10;644.676;539.394;54.000;54.000
T10;644.676;539.394;55.000;55.000
T10;645.660;531.520;56.000;56.000
T10;645.660;533.489;57.000;57.000
T11;643.691;499.043;59.000;59.000
T11;645.660;516.758;60.000;60.000
T11;645.660;522.663;61.000;61.000
T11;645.660;524.631;62.000;62.000
T11;648.612;516.758;63.000;63.000
T11;648.612;516.758;64.000;64.000
T12;655.502;482.312;66.000;66.000
T12;650.581;514.789;67.000;67.000
T12;650.581;514.789;68.000;68.000
T12;650.581;514.789;69.000;69.000
T12;653.533;503.964;70.000;70.000
T12;653.533;502.979;71.000;71.000
T12;653.533;502.979;72.000;72.000
Disque T1-T2;634.834;528.568;4.000;4.000
Disque T2-T3;646.644;535.457;10.000;10.000
Disque T3-T4;651.565;552.188;15.000;15.000
Disque T4-T5;648.612;559.077;21.000;21.000
Disque T5-T6;644.676;563.998;27.000;27.000
Disque T6-T7;643.691;568.919;33.000;33.000
Disque T7-T8;648.612;565.967;39.000;39.000
Disque T8-T9;642.707;551.204;45.000;45.000
Disque T9-T10;643.691;554.157;52.000;52.000
Disque T10-T11;652.549;525.615;58.000;58.000
Disque T11-T12;658.454;515.774;65.000;65.000
